student_ID,raw_sentiment_text,category,Resolved
S2023019, The professor for this course is disorganized and doesn't seem to have a plan. I am not learning anything and it's frustrating.,Faculty,5/31/2024
S2023020, The cost of attending this university is outrageous. I don't know how I'm going to afford it.,IT Services,On Process
S2023021, The textbook for this course is not helpful at all. It's poorly written and doesn't explain anything clearly.,IT Services,On Process
S2023022, I am very concerned about the lack of diversity in this course. We are not getting a well-rounded education.,IT Services,On Process
S2023023, The professor for this course is biased and it's affecting my grade. They seem to have favorites and it's not fair.,Faculty,On Process
S2023024, The workload for this course is overwhelming. I don't have enough time to complete everything and it's affecting my other classes.,Academic Support,On Process
S2023025, I wish there were more opportunities for extra credit in this course. It would help my grade and encourage me to learn more.,IT Services,On Process
S2023026, The professor for this course is not approachable. I am scared to ask them for help and it's hindering my success.,Faculty,On Process
S2023027, The course fees are too high for what we're getting. We're not getting our money's worth.,IT Services,8/14/2023
S2023028, The grading system for this course is too subjective. It's hard to know what the professor wants and it's affecting my grade.,Faculty,On Process
S2023029, The professor for this course is disinterested and it shows in their lectures. I am not learning anything and it's frustrating.,Faculty,On Process
S2023030, The textbook for this course is full of errors and mistakes. It's hard to learn from something that's not accurate.,Faculty,10/11/2023
S2023031, I am concerned about the lack of academic rigor in this course. We,Academic Support,On Process
S2023032,Limited access to technology and software is hindering my ability to do my coursework. I can't afford to buy expensive programs on my own.,IT Services,On Process
S2023033,I'm trying to graduate early but there are only a few courses available that I need to take. It's frustrating that my options are so limited.,IT Services,On Process
S2023034,The online system for accessing course materials is always down or glitchy. It's hard to get work done when I can't even access my assignments.,Academic Support,On Process
S2023035,I wish there were more opportunities to access research databases and materials outside of the library. It would be nice to have more options and flexibility.,Academic Support,10/22/2023
S2023036,It's really difficult to find the course materials I need for my classes because they're spread out across so many different resources. I wish there was a more streamlined system.,Academic Support,On Process
S2023037,The lack of available courses is making it hard for me to fulfill all of my degree requirements. I'm worried I won't be able to graduate on time.,Facilities,On Process
S2023038,"I'm having trouble with a particular software program for one of my classes, but there's no one available to help me troubleshoot. It's frustrating to feel like I'm on my own.",Facilities,On Process
S2023039,Limited access to research databases and materials is especially frustrating when I'm trying to write a thesis or do original research. It feels like I'm hitting a wall.,Academic Support,On Process
S2023040,I'm an international student and I'm having trouble accessing some of the online resources because of regional restrictions. It's frustrating to feel like I'm missing out because of where I'm from.,Facilities,On Process
S2023041,I'm a transfer student and I feel like I'm at a disadvantage because I don't have access to all of the same resources and databases as students who started at this university.,IT Services,On Process
S2023042,I'm a student with a disability and I'm having trouble accessing the technology and software I need to do my coursework. It's frustrating to feel like my needs aren't being accommodated.,Facilities,On Process
S2023043,It's frustrating to have limited access to academic advisors because they're the ones who can help me plan my degree and make sure I'm on track to graduate.,Academic Support,9/19/2023
S2023044,I wish there were more options for accessing course materials online so that I don't have to physically go to the library or bookstore every time I need something.,Academic Support,On Process
S2023045,It's hard to do group projects when we have limited access to technology and software. It puts us at a disadvantage compared to other groups.,Faculty,On Process
S2023046,I'm having trouble accessing research databases and materials because the library hours are limited and they're often closed when I have time to study.,Academic Support,On Process
S2023047,Limited access to research databases and materials makes it hard to stay up-to-date with the latest developments in my field of study. It feels like I'm falling behind.,Academic Support,7/29/2023
S2023048,Limited access to technology and software is making it hard to keep up with the pace of coursework. It feels like I'm constantly playing catch-up.,Academic Support,On Process
S2023049,The lack of available courses is making it hard to take electives that interest me. I feel like my academic options are too limited.,Academic Support,On Process
S2023050,Limited access to academic advisors is making me feel like I'm on my own when it comes to making important academic decisions.,Academic Support,On Process
S2023051,It's frustrating that we have such limited access to academic advisors. It makes it difficult to plan our academic careers and get the guidance we need.,Academic Support,On Process
S2023052,I'm really struggling with finding and accessing course materials. It's making it hard to keep up with the coursework.,Academic Support,On Process
S2023053,I wish there was more course availability. It's frustrating to have limited options for classes and not be able to take what we need.,IT Services,8/23/2023
S2023054,Limited access to technology and software is a major issue. It's hindering our ability to complete assignments and keep up with the demands of our courses.,IT Services,1/6/2023
S2023055,The limited access to research databases and materials is a huge problem. It makes it difficult to complete research assignments and write papers.,Academic Support,2/5/2023
S2023056,It's really frustrating that we don't have better access to academic advisors. It's causing a lot of stress and anxiety.,Academic Support,On Process
S2023057,The difficulty in finding and accessing course materials is making it hard to succeed in our classes.,Academic Support,On Process
S2023058,Limited course availability is a huge problem for students. We need more options for classes to be able to meet our academic goals.,Academic Support,10/4/2024
S2023059,Limited access to technology and software is preventing us from being able to complete assignments on time and to the best of our ability.,IT Services,On Process
S2023060,It's really frustrating to have limited access to research databases and materials. It's making it hard to complete research assignments and write papers.,Academic Support,6/12/2024
S2023061,I feel like I'm not getting the support I need from academic advisors. Limited access to them is making it difficult to plan my academic career.,Academic Support,On Process
S2023062,The difficulty in finding and accessing course materials is a major source of stress for students. It's important that we have access to what we need to succeed.,Academic Support,2/28/2024
S2023063,Limited course availability is a major issue for students. We need more options to be able to take the classes we need.,Facilities,On Process
S2023064,Limited access to technology and software is a major problem. It's impacting our ability to succeed in our courses and prepare for the workforce.,Academic Support,4/25/2023
S2023065,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,Academic Support,10/23/2024
S2023066,It's really hard to succeed academically when we have limited access to academic advisors. We need more support.,Academic Support,11/27/2023
S2023067,The difficulty in finding and accessing course materials is a barrier to success for many students. It's important that we have access to what we need to succeed.,Academic Support,6/26/2023
S2023068,Limited course availability is causing a lot of stress for students. We need more options to be able to take the classes we need.,Academic Support,On Process
S2023069,Limited access to technology and software is making it difficult to complete assignments and prepare for the workforce. It's a major issue for students.,Academic Support,8/15/2023
S2023070,The limited access to research databases and materials is making it hard to complete assignments and write papers. We need better access.,Academic Support,On Process
S2023071,It's really frustrating to not have more access to academic advisors. It's important that we have support to be able to plan our academic careers.,Academic Support,10/14/2023
S2023072,The difficulty in finding and accessing course materials is a major issue. It's important that we have access to what we need to succeed academically.,Academic Support,On Process
S2023073,Limited course availability is impacting our ability to graduate on time and meet our academic goals. We need more options.,Academic Support,On Process
S2023074,Limited access to technology and software is a major issue for students. It's important that we have access to the tools we need to succeed academically and in the workforce.,Academic Support,On Process
S2023075,The limited access to research databases and materials is causing a lot of frustration for students. It's important that we have better access to complete our coursework.,Academic Support,On Process
S2023076,"Academic advisors are so important, but the limited access to them is making it difficult to plan our academic careers and succeed.",Academic Support,On Process
S2023077,The difficulty in finding and accessing course materials is causing a lot of stress for students.,Academic Support,10/12/2023
S2023078,It's frustrating not being able to find the resources I need for my research projects due to the limited access to research databases and materials.,Academic Support,On Process
S2023079,Limited course availability is making it difficult to schedule my classes for next semester.,Faculty,3/13/2024
S2023080,The difficulty in finding and accessing course materials is really hindering my ability to study effectively.,Academic Support,On Process
S2023081,"The lack of access to academic advisors is really concerning, especially when I have questions about course selection and career planning.",Academic Support,On Process
S2023082,Limited access to technology and software is making it difficult to complete assignments and stay up to date with my coursework.,Academic Support,On Process
S2023083,I'm worried that my research projects won't be up to standard due to the limited access to research databases and materials.,Academic Support,On Process
S2023084,Limited course availability is making it impossible to complete my degree requirements on time.,Academic Support,2/17/2024
S2023085,I feel like I'm falling behind in my courses due to the difficulty in finding and accessing course materials.,Academic Support,On Process
S2023086,"The lack of access to academic advisors is really frustrating, especially when I need help with scheduling or resolving academic issues.",Academic Support,On Process
S2023087,Limited access to technology and software is impacting my ability to compete with my peers and prepare for my future career.,Facilities,On Process
S2023088,I'm struggling to find the necessary course materials for my courses due to the limited access available.,Academic Support,On Process
S2023089,The limited access to academic advisors is making it difficult for me to plan my academic career and get the support I need.,Academic Support,On Process
S2023090,Limited course availability is causing me to have to adjust my academic plans and career aspirations.,Academic Support,On Process
S2023091,Limited access to technology and software is causing me to fall behind in my coursework and struggle with assignments.,IT Services,10/31/2024
S2023092,I'm worried about the quality of my research projects due to the limited access to research databases and materials.,Academic Support,On Process
S2023093,The difficulty in finding and accessing course materials is causing me to spend unnecessary time and resources trying to complete assignments.,Academic Support,On Process
S2023094,Limited access to academic advisors is causing me to feel unsupported and disconnected from my academic goals.,Academic Support,12/15/2023
S2023095,Limited course availability is causing me to miss out on valuable academic opportunities and experiences.,Academic Support,On Process
S2023096,The limited access to technology and software is causing me to have to use outdated tools and resources for my coursework.,Academic Support,10/27/2023
S2023097,I feel like I'm not able to reach my full academic potential due to the limited access to research databases and materials.,Academic Support,On Process
S2023098,The difficulty in finding and accessing course materials is causing me to feel stressed and overwhelmed with my coursework.,Academic Support,On Process
S2023099,Limited access to academic advisors is causing me to feel lost and unsupported in my academic journey.,Academic Support,On Process
S2023100,I'm concerned that my academic achievements and career prospects will be impacted by the limited course availability.,Academic Support,On Process
S2023101,The limited access to technology and software is causing me to feel unprepared for the demands of the modern workforce.,Facilities,On Process
S2023102,The limited access to research databases and materials is making it difficult to produce high-quality research projects and assignments.,Academic Support,On Process
S2023103,I'm struggling to keep up with my coursework due to the difficulty in finding and accessing course materials.,Academic Support,On Process
S2023104,Limited access to academic advisors is causing me to feel like I'm not receiving the guidance I need to succeed academically.,Academic Support,On Process
S2023105,Limited course availability is causing me to have to change my academic plans and goals.,Academic Support,On Process
S2023106,The limited access to technology and software is causing me to feel like I'm not developing the skills I need to succeed in my future career.,Facilities,On Process
S2023107,The limited access to research databases and materials is causing me to feel like I'm not able to fully explore my academic interests.,Academic Support,On Process
S2023108,The difficulty in finding and accessing course materials is causing me to waste time and money trying to complete assignments.,Academic Support,9/17/2024
S2023109,Limited access to academic advisors is causing me to feel like I'm not receiving the academic support I need.,Academic Support,On Process
S2023110,Limited course availability is causing me to feel like I'm not able to fully engage with my academic studies.,Academic Support,On Process
S2023111,"As a student in a remote area, I'm struggling to access the required course materials due to limited availability online.",Academic Support,1/9/2023
S2023112,It's frustrating when you can't access research databases and materials you need for your assignments because they're only available in the library and you can't visit it.,Academic Support,On Process
S2023113,The limited access to technology and software is hindering my ability to complete my coursework to the best of my ability.,Academic Support,On Process
S2023114,I am paying a significant amount for tuition and it's disappointing that I can't access all the resources I need for my studies.,Facilities,On Process
S2023115,The limited course availability makes it difficult for me to plan my academic schedule and complete my degree in a timely manner.,Academic Support,On Process
S2023116,I wish there were more academic advisors available to guide me through my degree program and answer my questions.,Academic Support,On Process
S2023117,Limited access to academic resources has made it difficult for me to achieve the grades I am capable of.,Faculty,On Process
S2023118,I am struggling to find and access course materials needed for my classes due to limited availability in the library and online.,Academic Support,On Process
S2023119,The lack of access to research databases and materials is hindering my ability to conduct thorough research for my papers.,Academic Support,5/16/2023
S2023120,"It's frustrating to not have access to the latest technology and software, especially when it's required for certain classes.",Facilities,On Process
S2023121,The limited access to academic resources is preventing me from fully engaging in my studies and reaching my full potential.,Academic Support,On Process
S2023122,I am finding it difficult to complete my assignments due to the limited access to technology and software I need.,Facilities,On Process
S2023123,"Limited access to academic resources is causing unnecessary stress and anxiety, which is negatively affecting my academic performance.",Academic Support,On Process
S2023124,"It's frustrating to know that there are research databases and materials that could benefit my studies, but I don't have access to them.",Academic Support,4/27/2024
S2023125,I wish there were more academic advisors available to guide me through my degree program and help me make the most of my university experience.,Academic Support,On Process
S2023126,The limited course availability is causing scheduling conflicts and making it difficult to plan out my academic path.,Academic Support,On Process
S2023127,The limited access to technology and software is preventing me from exploring new fields and expanding my knowledge.,IT Services,On Process
S2023128,I am paying for access to academic resources and it's disappointing that they're not readily available to me.,Academic Support,On Process
S2023129,The limited access to research databases and materials is making it difficult for me to complete my thesis.,Academic Support,On Process
S2023130,"I wish there were more opportunities to access academic resources, such as extended library hours or online resources.",Academic Support,5/16/2023
S2023131,The limited access to academic resources is making it difficult to pursue my academic interests and passions.,Academic Support,On Process
S2023132,I am finding it difficult to complete my assignments on time due to the limited access to technology and software.,Facilities,5/4/2024
S2023133,Limited access to academic resources is preventing me from making the most of my university experience and achieving my academic goals.,Academic Support,On Process
S2023134,The limited course availability is preventing me from taking the classes I need to complete my degree.,Academic Support,On Process
S2023135,I wish there were more academic advisors available to provide guidance and support throughout my university experience.,Academic Support,On Process
S2023136,The limited access to technology and software is hindering my ability to prepare for my future career.,Facilities,4/29/2023
S2023137,Limited access to academic resources is creating a disadvantage for me compared to other students who have greater access.,Academic Support,On Process
S2023138,The limited access to research databases and materials is making it difficult to conduct quality research for my papers.,Academic Support,4/21/2024
S2023139,"I am struggling to find and access the course materials I need, which is negatively affecting my academic performance.",Academic Support,On Process
S2023140,Limited access to academic resources is making it difficult for me to fully engage in my studies and take advantage of all that my university has to offer.,Academic Support,On Process
S2023141,"I'm finding the academic workload really overwhelming, and it's been a struggle to keep up with all the assignments.",Academic Support,On Process
S2023142,"The course material is extremely challenging, and I often feel like I don't fully understand it.",Academic Support,On Process
S2023143,I've been struggling with my time management skills lately and it's been affecting my grades. I really need to get better at prioritizing my tasks.,Faculty,On Process
S2023144,"Balancing work and academic responsibilities has been a real challenge for me, and I often feel like I'm being pulled in two different directions.",Academic Support,On Process
S2023145,"I'm finding it difficult to balance my extracurricular activities with my academic work, and I'm often left feeling stressed and overwhelmed.",Academic Support,On Process
S2023146,"Lack of sleep and fatigue has been a real issue for me lately, and it's been affecting my ability to focus and stay motivated.",Faculty,3/13/2023
S2023147,"I've been dealing with a lot of stress and anxiety lately, and it's been really tough to stay on top of my schoolwork.",Faculty,On Process
S2023148,"Mental health concerns have been a major factor in my academic performance, and I really need to prioritize self-care in order to succeed.",Academic Support,On Process
S2023149,"I'm struggling to keep up with the academic workload, and it's been causing me a lot of stress and anxiety.",Academic Support,On Process
S2023150,"The course material is really challenging, and I often feel like I'm in over my head.",Academic Support,On Process
S2023151,"I'm not very good at managing my time, and I often find myself struggling to balance my academic work with my other commitments.",Academic Support,On Process
S2023152,"Balancing work and academic responsibilities has been a real struggle for me, and it's been affecting my grades.",Faculty,2/27/2023
S2023153,"I often have conflicts with my other commitments, and it's been difficult to find time to focus on my schoolwork.",Faculty,On Process
S2023154,"I've been feeling really tired and burnt out lately, and it's been hard to stay motivated to study.",Academic Support,On Process
S2023155,"The stress and anxiety of college life has been getting to me, and I'm having trouble focusing on my coursework.",IT Services,On Process
S2023156,"My mental health has been a major factor in my academic performance, and I need to prioritize self-care in order to succeed.",Academic Support,On Process
S2023157,"I'm feeling really overwhelmed by the academic workload, and I'm struggling to keep up with everything.",Academic Support,On Process
S2023158,"The course material is really difficult, and I often feel like I don't fully understand it.",Academic Support,On Process
S2023159,"I'm not very good at managing my time, and it's been affecting my grades.",Faculty,On Process
S2023160,"Balancing work and academic responsibilities has been really challenging for me, and it's been causing me a lot of stress.",Academic Support,On Process
S2023161,"I often have conflicts with my other commitments, and it's been tough to find time to focus on my schoolwork.",IT Services,On Process
S2023162,"I've been feeling really exhausted lately, and it's been hard to stay motivated to study.",Academic Support,On Process
S2023163,"The stress and anxiety of college life has been really overwhelming, and it's been affecting my mental health.",Academic Support,On Process
S2023164,"I'm dealing with some mental health issues that have been affecting my academic performance, and I need to seek help.",Academic Support,1/29/2023
S2023165,"The academic workload has been really intense lately, and it's been a struggle to keep up with everything.",Academic Support,On Process
S2023166,"The course material is really challenging, and I often feel like I'm not smart enough to understand it.",Academic Support,On Process
S2023167,I need to work on my time management skills because I'm constantly feeling behind in my coursework.,Faculty,On Process
S2023168,"Balancing work and academic responsibilities has been a real struggle, and I'm not sure how to make it work.",Academic Support,On Process
S2023169,"I have a lot of other commitments that often conflict with my schoolwork, and it's been really hard to juggle everything.",Academic Support,On Process
S2023170,"I've been feeling really run down lately, and it's been tough to stay focused on my studies.",Facilities,On Process
S2023171,The stress and anxiety of college life has been really overwhelming,IT Services,4/27/2023
S2023172,"The academic workload is becoming overwhelming, especially with the difficulty of course material. It's difficult to manage my time well and balance my work responsibilities with my academic ones. I have a hard time sleeping due to the stress and anxiety this is causing me, and it's starting to affect my mental health.",Academic Support,3/13/2023
S2023173,"I find myself struggling with the difficulty of course material and trying to manage my time effectively. Balancing work and academic responsibilities is a challenge, and I'm not getting enough sleep. This is causing me stress and anxiety, which is taking a toll on my mental health.",Academic Support,On Process
S2023174,"Managing the academic workload and the difficulty of course material is a constant struggle. I need to improve my time management skills to balance work and academic responsibilities, but it's hard when I have time conflicts with other commitments. The lack of sleep is starting to affect my mental health, and I'm feeling stressed and anxious.",Academic Support,On Process
S2023175,"I'm finding it hard to keep up with the academic workload, especially since the course material is challenging. Balancing work and academic responsibilities is tough, and there are often time conflicts with other commitments. I'm not getting enough sleep, and it's starting to affect my mental health. The stress and anxiety are overwhelming.",Academic Support,On Process
S2023176,"The academic workload is taking its toll on me, especially since the course material is so difficult. I'm trying to manage my time effectively, but it's challenging to balance work and academic responsibilities. There are always time conflicts with other commitments, and I'm not getting enough sleep. This is causing me stress and anxiety, and it's starting to impact my mental health.",Academic Support,On Process
S2023177,"I'm struggling with the academic workload and the difficulty of the course material. I need to improve my time management skills to balance work and academic responsibilities, but there are always time conflicts with other commitments. I'm not sleeping well, and it's affecting my mental health. I'm feeling stressed and anxious all the time.",Academic Support,On Process
S2023178,"It's challenging to keep up with the academic workload, especially since the course material is so difficult. I need to work on my time management skills to balance work and academic responsibilities, but there are always time conflicts with other commitments. The lack of sleep is starting to take its toll on my mental health, and I'm feeling stressed and anxious.",Academic Support,4/14/2024
S2023179,"The academic workload is becoming overwhelming, and the course material is so challenging. I'm struggling to balance work and academic responsibilities and manage my time effectively. There are often time conflicts with other commitments, and I'm not getting enough sleep. This is causing me stress and anxiety, and my mental health is suffering.",Academic Support,On Process
S2023180,"The academic workload is getting to be too much, and I'm finding the course material increasingly difficult. I need to improve my time management skills to balance work and academic responsibilities, but there are always time conflicts with other commitments. The lack of sleep is starting to affect my mental health, and I'm feeling stressed and anxious all the time.",Academic Support,On Process
S2023181,"Managing the academic workload is a challenge, especially since the course material is so difficult. I need to balance work and academic responsibilities, but there are often time conflicts with other commitments. The lack of sleep is starting to take its toll on my mental health, and I'm feeling stressed and anxious.",Academic Support,On Process
S2023182,"The academic workload is overwhelming, and the course material is hard to understand. Balancing work and academic responsibilities is tough, and there are always time conflicts with other commitments. I'm not getting enough sleep, and the stress and anxiety are starting to affect my mental health.",Academic Support,On Process
S2023183,"It's hard to keep up with the academic workload, and the difficulty of the course material is making it even harder. Balancing work and academic responsibilities is a challenge, and there are often time conflicts with other commitments. The lack of sleep is taking its toll",Academic Support,On Process
S2023184,"I have found that the academic workload has been extremely heavy this semester, leaving me feeling overwhelmed and stressed.",Academic Support,On Process
S2023185,"The difficulty of the course material is much higher than I anticipated, and I am struggling to keep up.",Academic Support,On Process
S2023186,I have been struggling with time management skills and finding it difficult to balance my academic responsibilities with work and other commitments.,Academic Support,On Process
S2023187,"Balancing work and academic responsibilities has been a significant challenge, and I have found it difficult to maintain a healthy work-life balance.",Academic Support,On Process
S2023188,Time conflicts with other commitments have made it challenging to keep up with coursework and assignments.,Facilities,On Process
S2023189,I am struggling with lack of sleep and fatigue due to the demands of my academic workload.,Academic Support,3/5/2023
S2023190,"The stress and anxiety of the academic workload have been affecting my mental health, and I am finding it difficult to cope.",Academic Support,On Process
S2023191,I am concerned about my mental health and have been experiencing symptoms of depression and anxiety due to the academic workload.,Academic Support,On Process
S2023192,"The academic workload is overwhelming, and I am struggling to find ways to manage my stress and maintain my mental health.",Academic Support,2/26/2024
S2023193,"I have been finding it difficult to balance my academic workload with other commitments, such as extracurricular activities and social life.",Academic Support,On Process
S2023194,"The course material is much more challenging than I expected, and I am struggling to keep up with the pace of the class.",Academic Support,On Process
S2023195,"I am finding it difficult to manage my time effectively, and it is affecting my ability to keep up with assignments and coursework.",IT Services,On Process
S2023196,"Balancing work and academic responsibilities has been a significant challenge, and I am finding it hard to find time for self-care and relaxation.",Academic Support,On Process
S2023197,"I am struggling to keep up with my coursework due to time conflicts with other commitments, such as part-time work and family obligations.",IT Services,12/8/2023
S2023198,Lack of sleep and fatigue have been affecting my ability to focus on coursework and stay motivated.,IT Services,4/10/2023
S2023199,"The academic workload is causing significant stress and anxiety, and I am finding it hard to cope with the pressure.",Academic Support,On Process
S2023200,I am concerned about my mental health and have been experiencing symptoms of burnout and exhaustion due to the demands of my academic workload.,Academic Support,On Process
